"","Biomes","Data","percent"
"1","Biome 1","Available",14.7634086144211
"2","Biome 2","Available",2.93251240678326
"3","Biome 3","Available",0.488309758233593
"4","Biome 4","Available",9.3681165574162
"5","Biome 5","Available",2.85555054271383
"6","Biome 6","Available",11.5787797563759
"7","Biome 7","Available",16.2601841777023
"8","Biome 8","Available",8.04649558132746
"9","Biome 4","Available",0.886388365489239
"10","Biome 10","Available",3.67028475889706
"11","Biome 11","Available",6.36925771609034
"12","Biome 12","Available",2.5291260847642
"13","Biome 13","Available",20.0047769432871
"14","Biome 14","Available",0.246808736498501
"15","Biome 1","Locations",31.9370172311349
"16","Biome 2","Locations",5.02079619726679
"17","Biome 3","Locations",2.16874628639335
"18","Biome 4","Locations",21.1229946524064
"19","Biome 5","Locations",5.4367201426025
"20","Biome 6","Locations",0.920974450386215
"21","Biome 7","Locations",9.23945335710042
"22","Biome 8","Locations",5.58526440879382
"23","Biome 4","Locations",1.06951871657754
"24","Biome 10","Locations",2.43612596553773
"25","Biome 11","Locations",0.5941770647653
"26","Biome 12","Locations",6.77361853832442
"27","Biome 13","Locations",6.47653000594177
"28","Biome 14","Locations",1.21806298276886
